"","CountryCode","Male_correct","Female_correct","Pvalue_correct","Male_score","Female_score","Pvalue_score","Male_self","Female_self","Pvalue_self"
"32",32,3,4,"0.488177235630154",0.25,-0.5,"0.705512889636536",2.75,4.5,"0.0772223359017005"
"33",33,2.71428571428571,2.16666666666667,"0.291280833524838",-0.928571428571429,-2.16666666666667,"0.0300657964176215",3.64285714285714,4.33333333333333,"0.025768525584545"
"34",34,3,2.75,"0.767940690210238",-0.911764705882353,-1,"0.944889786059578",3.91176470588235,3.75,"0.765300393108674"
"35",35,2.47222222222222,2.775,"0.199529332216018",-1.31944444444444,-1.3,"0.946558528597476",3.79166666666667,4.075,"0.121185245750102"
"36",36,2.83333333333333,2.83333333333333,"1",-1,-0.833333333333333,"0.837929870791233",3.83333333333333,3.66666666666667,"0.756185398542799"
"37",37,NA,NA,"not enough 'x' observations",NA,NA,"not enough 'x' observations",NA,NA,"not enough 'x' observations"
"38",38,2.81818181818182,2.75,"0.903900238541975",-0.909090909090909,-1.25,"0.654443106923352",3.72727272727273,4,"0.505997099748931"
"39",39,NA,NA,"not enough 'x' observations",NA,NA,"not enough 'x' observations",NA,NA,"not enough 'x' observations"
"40",40,3.33333333333333,3.55555555555556,"0.590715645502107",-0.916666666666667,-0.555555555555556,"0.35323161224174",4.25,4.11111111111111,"0.439439427027912"
"41",41,1.33333333333333,3.66666666666667,"0.104246930207206",-2,0,"0.440918635949451",3.33333333333333,3.66666666666667,"0.828720748585318"
"42",42,2.88750913075237,3.1779303062302,"1.40274604093791e-16",-1.05916727538349,-0.922386483632524,"0.00138515585075599",3.94667640613587,4.10031678986272,"1.9734265543851e-08"
"43",43,2.82302405498282,3.00819672131148,"0.0156593709455902",-0.993127147766323,-1.00819672131148,"0.882031003385092",3.81615120274914,4.01639344262295,"0.00238615400345408"
"44",44,2.91428571428571,3.38461538461538,"0.199303669680796",-0.514285714285714,-0.692307692307692,"0.720356688915118",3.42857142857143,4.07692307692308,"0.0525144522557836"
"45",45,2.72727272727273,3.15789473684211,"0.244713069213473",-1.13636363636364,-1.05263157894737,"0.843872407878822",3.86363636363636,4.21052631578947,"0.15395074115054"
"46",46,2.8,3,"0.64011741177714",-1.4,-0.818181818181818,"0.205884484766155",4.2,3.81818181818182,"0.333647402425806"
"47",47,3.05,3.75,"0.014659258782224",-1.1,-0.571428571428571,"0.0981223867243245",4.15,4.32142857142857,"0.300948038966673"
"48",48,2.83870967741935,3,"0.682795346766472",-1.06451612903226,-1.29411764705882,"0.543627377212731",3.90322580645161,4.29411764705882,"0.0587236654848201"
"49",49,2.8125,3.4375,"0.138108905480079",-1.1875,-0.3125,"0.0951988341468519",4,3.75,"0.51771528862227"
"50",50,2.27272727272727,2.5,"0.713368947131895",-1.72727272727273,-1.5,"0.784315863169347",4,4,"1"
"51",51,3.22222222222222,3.39130434782609,"0.556157582277709",-0.888888888888889,-0.478260869565217,"0.236871992716153",4.11111111111111,3.8695652173913,"0.265843325958593"
"52",52,3.08653846153846,3.28846153846154,"0.301805112429535",-0.586538461538462,-0.634615384615385,"0.851611971370974",3.67307692307692,3.92307692307692,"0.116850102351726"
"53",53,2.70402298850575,3.15116279069767,"0.0001011410541854",-0.910919540229885,-0.761627906976744,"0.275130804318726",3.61494252873563,3.91279069767442,"0.000195761136556127"
"54",54,3.06060606060606,2.91228070175439,"0.438830376839139",-0.464646464646465,-0.596491228070175,"0.567890399734685",3.52525252525253,3.50877192982456,"0.901381210051558"
"55",55,2.82080924855491,3.43181818181818,"0.000453032262406849",-0.913294797687861,-0.590909090909091,"0.120203612504127",3.73410404624277,4.02272727272727,"0.0175423789693192"
"56",56,2.97530864197531,3.17355371900826,"0.149175062680232",-0.660493827160494,-0.760330578512397,"0.519894558394098",3.6358024691358,3.93388429752066,"0.000679033680459215"
"57",57,2.84231536926148,3.02884615384615,"0.0254313576813106",-0.770459081836327,-0.907051282051282,"0.165161420743717",3.6127744510978,3.93589743589744,"5.66184319960673e-07"
"58",58,2.87248322147651,2.94736842105263,"0.666729546906113",-0.973154362416107,-0.907894736842105,"0.765475883302286",3.84563758389262,3.85526315789474,"0.940080325853133"
"59",59,2.68571428571429,3.37931034482759,"0.0136689319237848",-1.08571428571429,-0.620689655172414,"0.201169152480834",3.77142857142857,4,"0.3637619297556"
